id,attack_date,org_type,org_size,facilities_affected,cyber_threats_tracked,monitoring_freq,backup_compromised,ransomware_infection_rate_(%),data_encrypted,data_stolen,recovery_time_(days),entry_method,paid_ransom,data_restored,ransomware_incidents
RAN202400031,2024-08-17 22:00:00,Clinic,Small,14,1-50,Weekly,True,80.7,False,False,75,Compromised Credentials,False,31.25,7
RAN202400032,2024-07-28 14:00:00,Hospital,Medium,10,50-350,More than once per day,True,32.65,False,False,28,Exploited Vulnerability,False,52.58,3
RAN202400033,2024-06-01 18:00:00,Hospital,Medium,8,50-350,Daily,False,66.62,True,False,32,Compromised Credentials,True,40.42,7
RAN202400034,2024-11-09 16:00:00,Pharma,Medium,7,50-350,Weekly,False,56.09,False,False,25,Compromised Credentials,True,47.66,7
RAN202400035,2024-08-18 08:00:00,Pharma,Large,8,1-50,Weekly,True,56.59,True,True,48,Compromised Credentials,True,53.25,1
RAN202400036,2024-03-20 23:00:00,Insurance,Large,8,1-50,Daily,False,60.83,False,True,21,RDP Exploit,True,46.77,7
RAN202400037,2024-04-25 12:00:00,Hospital,Medium,23,50-350,Daily,False,65.55,True,False,56,Phishing Email,False,42.04,4
RAN202400038,2024-11-26 11:00:00,Hospital,Large,2,350+,Daily,False,66.07,True,True,14,Phishing Email,False,28.16,3
RAN202400039,2024-02-03 00:00:00,Clinic,Medium,16,50-350,Daily,False,65.19,True,False,44,Compromised Credentials,True,48.65,4
RAN202400040,2024-08-27 08:00:00,Clinic,Small,9,350+,Daily,True,53.05,True,False,31,Exploited Vulnerability,False,36.91,2
RAN202400041,2024-03-14 02:00:00,Hospital,Medium,13,50-350,Monthly,True,52.39,False,False,47,Infected Removable Media,False,31.3,1
RAN202400042,2024-09-15 18:00:00,Clinic,Medium,23,50-350,Daily,False,44.17,True,False,47,Exploited Vulnerability,True,64.32,2
RAN202400043,2024-04-14 10:00:00,Hospital,Medium,12,1-50,Monthly,False,68.1,True,False,49,Phishing Email,True,47.96,1
RAN202400044,2024-01-05 18:00:00,Pharma,Medium,22,50-350,Weekly,False,44.98,True,False,28,Compromised Credentials,False,31.97,1
RAN202400045,2024-01-04 22:00:00,Hospital,Medium,17,50-350,More than once per day,True,39.73,True,False,41,Exploited Vulnerability,True,71.89,3
RAN202400046,2024-11-06 22:00:00,Clinic,Medium,2,50-350,Weekly,True,45.75,True,True,39,Exploited Vulnerability,True,44.04,6
RAN202400047,2024-07-12 09:00:00,Hospital,Medium,13,50-350,More than once per day,True,42.79,True,True,29,RDP Exploit,True,44.52,2
RAN202400048,2024-12-02 00:00:00,Clinic,Medium,1,50-350,Monthly,True,58.81,False,False,43,Phishing Email,False,32.25,4
RAN202400049,2024-08-19 17:00:00,Clinic,Small,19,1-50,Monthly,True,73.41,True,False,77,Compromised Credentials,True,7.12,3
RAN202400050,2024-06-22 13:00:00,Hospital,Medium,11,50-350,Daily,True,65.84,True,False,63,Exploited Vulnerability,False,24.46,6
RAN202400051,2024-02-06 17:00:00,Pharma,Large,5,1-50,Daily,True,68.3,True,False,52,Exploited Vulnerability,False,33.25,1
RAN202400052,2024-10-16 18:00:00,Research Lab,Medium,1,350+,Daily,True,47.37,True,True,20,Exploited Vulnerability,True,73.16,4
RAN202400053,2024-02-04 16:00:00,Pharma,Large,20,1-50,Daily,True,39.04,True,True,50,Phishing Email,False,18.3,1
RAN202400054,2024-04-20 04:00:00,Insurance,Medium,13,1-50,Daily,True,59.08,False,False,70,Phishing Email,True,51.6,1
RAN202400055,2024-09-28 08:00:00,Clinic,Medium,8,50-350,Daily,True,52.48,True,False,35,Infected Removable Media,False,18.36,4
RAN202400056,2024-12-23 11:00:00,Pharma,Medium,6,50-350,Weekly,True,60.06,True,False,53,Compromised Credentials,False,35.93,5
RAN202400057,2024-11-19 17:00:00,Hospital,Medium,17,50-350,Daily,False,63.2,True,False,35,Compromised Credentials,True,54.95,4
RAN202400058,2024-10-13 06:00:00,Hospital,Medium,12,1-50,Weekly,True,64.84,False,False,69,Phishing Email,False,12.76,7
RAN202400059,2024-05-03 21:00:00,Hospital,Medium,1,50-350,Weekly,True,75.06,True,False,50,Phishing Email,True,50.78,3
RAN202400060,2024-09-30 19:00:00,Hospital,Medium,3,1-50,Daily,False,46.97,True,True,14,Compromised Credentials,True,65.39,4
RAN202400061,2024-02-28 08:00:00,Hospital,Large,14,350+,Monthly,True,57.04,True,False,31,Compromised Credentials,True,18.83,3
RAN202400062,2024-09-12 17:00:00,Hospital,Large,8,350+,Daily,False,52.99,True,True,12,Exploited Vulnerability,False,57.53,2
RAN202400063,2024-09-21 13:00:00,Insurance,Medium,11,50-350,More than once per day,True,24.79,True,False,19,Exploited Vulnerability,True,69.05,4
RAN202400064,2024-11-12 02:00:00,Hospital,Medium,14,1-50,Weekly,False,70.74,True,False,37,Exploited Vulnerability,True,11.66,6
RAN202400065,2024-08-22 19:00:00,Hospital,Medium,8,50-350,Daily,True,50.13,True,False,40,Phishing Email,False,22.46,2
RAN202400066,2024-06-15 00:00:00,Clinic,Small,3,1-50,Weekly,False,56.09,True,False,22,Compromised Credentials,False,30.21,4
RAN202400067,2024-04-16 18:00:00,Hospital,Medium,7,50-350,Monthly,False,71.63,True,True,31,Exploited Vulnerability,False,28.51,6
RAN202400068,2024-09-15 13:00:00,Insurance,Medium,19,1-50,Monthly,True,60.23,True,False,68,Exploited Vulnerability,True,41.59,3
RAN202400069,2024-12-29 22:00:00,Hospital,Large,4,350+,Weekly,False,52.02,True,False,13,Compromised Credentials,False,34.5,6
RAN202400070,2024-07-03 11:00:00,Pharma,Large,16,1-50,Weekly,True,47.94,True,False,53,Phishing Email,False,35.57,6
RAN202400071,2024-03-22 19:00:00,Research Lab,Medium,13,50-350,More than once per day,True,39.37,True,False,57,Compromised Credentials,True,68.58,2
RAN202400072,2024-02-23 02:00:00,Hospital,Medium,20,50-350,Daily,True,65.64,True,False,82,RDP Exploit,False,21.63,5
RAN202400073,2024-11-22 01:00:00,Hospital,Medium,19,50-350,Weekly,False,51.48,True,False,35,Phishing Email,True,68.78,4
RAN202400074,2024-12-24 01:00:00,Insurance,Large,5,1-50,Daily,True,38.38,True,False,47,Compromised Credentials,False,51.56,3
RAN202400075,2024-03-10 10:00:00,Research Lab,Small,23,350+,Daily,True,66.36,True,False,42,Exploited Vulnerability,False,17.79,3
RAN202400076,2024-11-01 02:00:00,Research Lab,Medium,5,50-350,Daily,False,59.5,True,False,23,Phishing Email,False,21.46,7
RAN202400077,2024-10-08 12:00:00,Research Lab,Medium,20,50-350,Weekly,True,54.89,True,True,70,Compromised Credentials,False,33.69,1
RAN202400078,2024-11-20 01:00:00,Hospital,Large,24,1-50,Daily,True,64.95,True,False,85,Compromised Credentials,False,37.62,3
RAN202400079,2024-03-17 11:00:00,Hospital,Medium,4,50-350,Weekly,False,56.47,True,False,22,Compromised Credentials,True,52.92,7
RAN202400080,2024-11-29 18:00:00,Hospital,Medium,2,50-350,Daily,False,54.64,True,False,17,Compromised Credentials,True,67.04,3
RAN202400081,2024-11-16 18:00:00,Insurance,Large,13,1-50,More than once per day,True,26.28,True,True,28,Exploited Vulnerability,True,67.23,4
RAN202400082,2024-01-17 01:00:00,Clinic,Small,16,1-50,Daily,False,82.61,True,False,72,Compromised Credentials,False,27.86,2
RAN202400083,2024-10-10 16:00:00,Hospital,Large,22,350+,Daily,True,47.12,False,True,24,Compromised Credentials,True,76.44,6
RAN202400084,2024-07-05 11:00:00,Hospital,Large,2,1-50,Monthly,True,55.25,True,False,39,Phishing Email,False,37.37,7
RAN202400085,2024-08-06 02:00:00,Hospital,Medium,19,1-50,More than once per day,True,36.0,True,False,46,Malicious Website,True,57.69,4
RAN202400086,2024-03-06 21:00:00,Hospital,Medium,17,50-350,Daily,True,68.24,True,False,52,Exploited Vulnerability,True,52.53,4
RAN202400087,2024-08-26 12:00:00,Research Lab,Medium,5,50-350,Daily,True,70.34,True,False,65,Compromised Credentials,False,26.19,5
RAN202400088,2024-01-14 09:00:00,Clinic,Small,18,1-50,Daily,True,66.96,False,False,93,Compromised Credentials,True,20.52,6
RAN202400089,2024-08-26 15:00:00,Insurance,Medium,23,50-350,More than once per day,False,33.9,True,True,25,Exploited Vulnerability,False,53.63,5
RAN202400090,2024-03-12 11:00:00,Clinic,Small,21,1-50,More than once per day,True,44.3,True,False,47,Phishing Email,True,59.18,4
RAN202400091,2024-10-16 14:00:00,Hospital,Large,18,1-50,Monthly,False,71.18,True,True,35,Exploited Vulnerability,True,38.56,5
RAN202400092,2024-05-05 10:00:00,Research Lab,Small,8,1-50,Weekly,True,76.31,True,False,62,Exploited Vulnerability,True,46.61,1
RAN202400093,2024-03-13 16:00:00,Research Lab,Small,15,350+,Daily,False,71.92,True,False,27,Exploited Vulnerability,True,29.94,3
RAN202400094,2024-05-18 22:00:00,Clinic,Small,13,1-50,Daily,True,39.08,False,False,46,Exploited Vulnerability,False,50.55,6
RAN202400095,2024-11-19 23:00:00,Research Lab,Small,13,1-50,Daily,True,54.57,True,True,77,Compromised Credentials,False,27.8,7
RAN202400096,2024-04-23 20:00:00,Clinic,Medium,16,50-350,Daily,True,54.55,True,False,63,Exploited Vulnerability,False,33.11,7
RAN202400097,2024-08-05 07:00:00,Clinic,Small,22,350+,Weekly,False,82.5,False,True,30,Phishing Email,True,65.62,4
RAN202400098,2024-05-18 02:00:00,Clinic,Small,20,1-50,Monthly,False,60.07,True,False,36,Exploited Vulnerability,True,45.67,2
RAN202400099,2024-12-14 16:00:00,Hospital,Medium,13,50-350,Daily,True,78.87,True,False,78,Compromised Credentials,False,27.35,5
RAN202400100,2024-04-07 19:00:00,Hospital,Large,20,1-50,Weekly,True,43.41,True,False,55,Compromised Credentials,True,19.28,7
RAN202400101,2024-02-19 19:00:00,Hospital,Medium,2,50-350,More than once per day,True,14.79,True,False,9,Phishing Email,False,43.64,1
RAN202400102,2024-02-19 14:00:00,Clinic,Medium,3,50-350,Daily,False,45.36,True,False,8,Exploited Vulnerability,True,66.18,5
RAN202400103,2024-06-13 10:00:00,Hospital,Medium,15,50-350,More than once per day,False,31.32,True,False,17,Infected Removable Media,False,32.32,1
RAN202400104,2024-10-17 01:00:00,Clinic,Small,23,1-50,More than once per day,False,34.04,False,False,36,Exploited Vulnerability,True,29.82,6
RAN202400105,2024-05-08 01:00:00,Pharma,Medium,19,1-50,Monthly,False,81.27,True,False,54,Compromised Credentials,True,44.79,1
RAN202400106,2024-12-03 13:00:00,Hospital,Large,13,1-50,Daily,False,60.69,False,False,32,Exploited Vulnerability,True,51.07,6
RAN202400107,2024-02-16 12:00:00,Clinic,Small,5,1-50,More than once per day,True,55.85,True,True,42,Phishing Email,True,53.09,6
RAN202400108,2024-04-08 20:00:00,Research Lab,Small,22,1-50,Monthly,False,63.56,True,False,58,Compromised Credentials,False,23.28,7
RAN202400109,2024-01-16 10:00:00,Hospital,Medium,6,50-350,Monthly,False,63.24,True,True,22,Malicious Website,False,33.42,1
RAN202400110,2024-12-28 05:00:00,Hospital,Large,14,350+,Weekly,False,77.09,True,False,24,RDP Exploit,True,63.94,4
RAN202400111,2024-09-21 18:00:00,Hospital,Large,4,350+,Monthly,True,58.03,True,False,25,Compromised Credentials,True,63.36,3
RAN202400112,2024-04-28 05:00:00,Hospital,Large,22,350+,Daily,True,83.9,True,False,48,Exploited Vulnerability,True,57.19,4
RAN202400113,2024-10-16 00:00:00,Pharma,Medium,19,50-350,Weekly,True,58.89,True,False,71,Exploited Vulnerability,False,32.37,3
RAN202400114,2024-09-08 20:00:00,Insurance,Medium,23,50-350,Weekly,False,59.0,True,False,30,Exploited Vulnerability,True,66.7,2
RAN202400115,2024-07-30 14:00:00,Clinic,Small,7,1-50,Monthly,True,47.48,True,True,34,Exploited Vulnerability,False,35.54,7
RAN202400116,2024-07-17 13:00:00,Insurance,Medium,4,50-350,Weekly,True,60.86,True,True,50,RDP Exploit,False,42.6,5
RAN202400117,2024-01-15 22:00:00,Insurance,Medium,2,50-350,Daily,True,62.31,True,False,50,Exploited Vulnerability,False,21.4,4
RAN202400118,2024-09-08 04:00:00,Hospital,Medium,7,50-350,Weekly,True,69.09,True,False,52,Exploited Vulnerability,False,29.39,5
RAN202400119,2024-10-06 04:00:00,Insurance,Medium,3,50-350,Daily,True,60.67,True,False,47,Exploited Vulnerability,False,32.15,6
RAN202400120,2024-06-07 21:00:00,Clinic,Small,15,1-50,Daily,True,47.43,True,False,74,Exploited Vulnerability,True,51.11,5
RAN202400121,2024-03-07 01:00:00,Insurance,Medium,1,1-50,More than once per day,False,42.61,True,True,21,Phishing Email,True,47.85,6
RAN202400122,2024-08-14 16:00:00,Insurance,Large,2,350+,Monthly,False,50.62,True,False,12,Exploited Vulnerability,True,71.3,6
RAN202400123,2024-09-18 03:00:00,Hospital,Medium,10,1-50,Daily,True,78.56,True,False,72,Exploited Vulnerability,True,50.69,2
RAN202400124,2024-01-07 16:00:00,Hospital,Medium,16,50-350,Daily,False,73.57,True,False,47,Compromised Credentials,True,58.28,5
RAN202400125,2024-08-12 15:00:00,Hospital,Large,15,350+,Daily,False,53.31,True,False,23,Compromised Credentials,True,67.26,3
RAN202400126,2024-04-20 22:00:00,Clinic,Medium,24,50-350,Monthly,True,40.46,True,False,60,Exploited Vulnerability,True,61.17,4
RAN202400127,2024-01-21 06:00:00,Insurance,Medium,15,50-350,Daily,True,53.27,True,False,75,Compromised Credentials,False,23.75,2
RAN202400128,2024-01-21 09:00:00,Insurance,Large,14,1-50,Weekly,True,65.55,False,False,75,Compromised Credentials,False,32.49,6
RAN202400129,2024-07-31 05:00:00,Hospital,Medium,22,1-50,Monthly,True,76.99,True,False,90,Exploited Vulnerability,True,51.01,7
RAN202400130,2024-09-27 22:00:00,Clinic,Medium,14,350+,Daily,False,78.61,True,False,22,Phishing Email,False,29.57,6
RAN202400131,2024-11-18 04:00:00,Clinic,Medium,6,50-350,Daily,True,69.63,True,False,49,Compromised Credentials,False,27.4,3
RAN202400132,2024-05-05 00:00:00,Hospital,Medium,14,50-350,Weekly,True,82.95,True,False,91,Exploited Vulnerability,True,44.13,6
RAN202400133,2024-06-21 01:00:00,Hospital,Large,17,1-50,Monthly,False,43.62,True,False,29,Phishing Email,False,43.5,3
RAN202400134,2024-02-03 01:00:00,Hospital,Medium,18,1-50,Weekly,True,61.69,True,False,65,Exploited Vulnerability,True,34.48,6
RAN202400135,2024-03-08 23:00:00,Pharma,Large,20,350+,Daily,False,49.24,True,False,20,Compromised Credentials,False,29.7,6
RAN202400136,2024-03-16 05:00:00,Hospital,Large,19,1-50,Monthly,True,59.28,True,False,87,Compromised Credentials,False,12.19,2
RAN202400137,2024-04-01 13:00:00,Clinic,Medium,17,50-350,Daily,True,61.6,True,False,73,RDP Exploit,False,16.97,2
RAN202400138,2024-04-14 03:00:00,Research Lab,Small,16,1-50,Weekly,True,74.32,True,False,84,Exploited Vulnerability,False,11.93,5
RAN202400139,2024-11-16 20:00:00,Hospital,Medium,8,50-350,Weekly,True,54.93,True,False,60,Phishing Email,False,35.11,1
RAN202400140,2024-12-12 22:00:00,Pharma,Large,7,350+,Daily,True,66.35,True,False,38,Compromised Credentials,True,66.83,6
RAN202400141,2024-04-11 16:00:00,Pharma,Medium,20,50-350,Weekly,True,59.31,True,False,63,Exploited Vulnerability,True,65.96,3
RAN202400142,2024-06-25 18:00:00,Hospital,Medium,12,1-50,Weekly,True,73.65,True,False,73,Exploited Vulnerability,False,33.52,6
RAN202400143,2024-01-01 19:00:00,Clinic,Medium,9,50-350,Monthly,False,57.56,True,True,33,Exploited Vulnerability,False,34.84,3
RAN202400144,2024-11-20 02:00:00,Hospital,Medium,14,50-350,Daily,True,78.27,True,False,70,Exploited Vulnerability,False,43.85,7
RAN202400145,2024-04-23 18:00:00,Hospital,Medium,20,50-350,Daily,False,63.61,True,False,51,Compromised Credentials,False,42.92,1
RAN202400146,2024-06-16 23:00:00,Hospital,Large,1,350+,Weekly,True,61.37,True,False,19,Compromised Credentials,True,69.31,3
RAN202400147,2024-09-02 13:00:00,Clinic,Medium,10,50-350,More than once per day,True,22.69,True,False,13,Phishing Email,False,43.96,6
RAN202400148,2024-01-26 09:00:00,Clinic,Small,17,350+,More than once per day,False,46.67,False,True,16,Compromised Credentials,False,51.34,4
RAN202400149,2024-12-26 05:00:00,Hospital,Medium,17,50-350,Monthly,True,52.7,True,True,45,Compromised Credentials,True,17.7,5
RAN202400150,2024-04-18 01:00:00,Hospital,Large,17,1-50,Daily,True,71.1,True,True,70,RDP Exploit,False,26.41,5
RAN202400151,2024-10-28 06:00:00,Pharma,Medium,4,1-50,Monthly,True,59.63,True,False,70,Compromised Credentials,True,53.5,4
RAN202400152,2024-12-30 06:00:00,Hospital,Medium,17,1-50,Daily,False,36.52,True,True,30,Phishing Email,False,26.96,1
RAN202400153,2024-03-13 15:00:00,Hospital,Large,18,350+,Daily,True,58.16,False,True,24,Compromised Credentials,False,30.25,2
RAN202400154,2024-08-30 01:00:00,Clinic,Medium,20,50-350,Weekly,True,73.4,True,False,55,Phishing Email,True,58.79,3
RAN202400155,2024-02-29 10:00:00,Pharma,Medium,23,50-350,Weekly,True,57.25,True,False,75,Phishing Email,False,23.61,3
RAN202400156,2024-11-12 06:00:00,Hospital,Large,2,1-50,Weekly,False,47.25,True,False,22,Phishing Email,False,26.14,2
RAN202400157,2024-11-04 01:00:00,Clinic,Small,8,1-50,Daily,True,59.32,False,True,33,Phishing Email,True,22.97,2
RAN202400158,2024-04-27 04:00:00,Research Lab,Medium,13,50-350,Weekly,True,55.52,True,False,59,Compromised Credentials,True,61.33,1
RAN202400159,2024-04-20 12:00:00,Hospital,Medium,23,50-350,Daily,True,63.8,True,True,81,Compromised Credentials,True,47.3,6
RAN202400160,2024-03-31 16:00:00,Research Lab,Small,22,1-50,Daily,True,60.33,True,True,95,Compromised Credentials,False,46.56,3
RAN202400161,2024-09-05 11:00:00,Hospital,Medium,20,50-350,Daily,True,72.25,False,True,62,RDP Exploit,True,53.73,2
RAN202400162,2024-10-28 12:00:00,Clinic,Small,22,1-50,Weekly,False,43.39,False,True,49,Exploited Vulnerability,False,28.87,3
RAN202400163,2024-06-13 18:00:00,Clinic,Small,15,1-50,Daily,True,77.37,False,False,75,Phishing Email,True,33.92,6
RAN202400164,2024-01-12 12:00:00,Clinic,Medium,20,50-350,Daily,True,56.52,False,True,62,Compromised Credentials,False,18.38,4
RAN202400165,2024-03-15 20:00:00,Hospital,Large,23,1-50,Daily,False,63.66,True,False,44,Compromised Credentials,True,45.68,7
RAN202400166,2024-06-14 11:00:00,Insurance,Large,9,350+,More than once per day,True,25.77,False,False,11,Malicious Website,False,55.65,6
RAN202400167,2024-12-14 02:00:00,Hospital,Large,3,1-50,More than once per day,True,35.89,True,False,25,Exploited Vulnerability,False,39.44,2
RAN202400168,2024-11-18 08:00:00,Hospital,Large,3,1-50,Weekly,True,69.52,True,False,36,Compromised Credentials,True,19.65,1
RAN202400169,2024-09-02 02:00:00,Hospital,Large,2,1-50,Daily,True,51.58,True,True,56,Compromised Credentials,True,50.5,1
RAN202400170,2024-02-06 14:00:00,Clinic,Medium,1,50-350,Monthly,True,78.7,True,False,41,Phishing Email,False,47.44,6
RAN202400171,2024-11-04 04:00:00,Clinic,Medium,14,50-350,Weekly,True,58.33,True,False,61,Compromised Credentials,True,37.34,3
RAN202400172,2024-05-07 02:00:00,Hospital,Medium,17,50-350,More than once per day,False,41.55,False,False,28,Phishing Email,True,58.75,3
RAN202400173,2024-07-27 03:00:00,Clinic,Small,13,1-50,Weekly,False,53.57,True,False,54,Exploited Vulnerability,True,44.58,6
RAN202400174,2024-01-16 16:00:00,Hospital,Medium,19,1-50,More than once per day,False,40.85,False,False,35,RDP Exploit,True,63.33,1
RAN202400175,2024-08-07 12:00:00,Clinic,Medium,23,50-350,Weekly,True,58.6,True,False,70,Compromised Credentials,False,33.26,3
RAN202400176,2024-08-04 19:00:00,Hospital,Large,15,350+,Monthly,True,55.77,True,False,45,Compromised Credentials,False,36.62,1
RAN202400177,2024-09-27 16:00:00,Clinic,Small,14,350+,Daily,True,79.2,True,False,38,Compromised Credentials,False,27.14,5
RAN202400178,2024-01-11 17:00:00,Hospital,Large,2,1-50,Weekly,True,61.61,True,False,59,Phishing Email,True,42.94,1
RAN202400179,2024-07-13 23:00:00,Pharma,Medium,7,50-350,Daily,False,60.28,False,False,39,Exploited Vulnerability,True,50.13,6
RAN202400180,2024-07-14 14:00:00,Hospital,Large,17,350+,Daily,True,76.24,True,False,35,Exploited Vulnerability,False,27.43,7
RAN202400181,2024-04-02 00:00:00,Hospital,Large,18,1-50,Monthly,False,61.86,True,False,28,Compromised Credentials,False,20.51,6
RAN202400182,2024-04-19 07:00:00,Hospital,Large,6,350+,Daily,True,60.07,False,False,22,RDP Exploit,True,74.42,5
RAN202400183,2024-03-01 14:00:00,Pharma,Medium,21,1-50,Daily,True,46.2,False,False,64,Compromised Credentials,False,22.34,7
RAN202400184,2024-07-10 14:00:00,Insurance,Large,8,350+,Daily,True,60.32,True,False,32,Malicious Website,False,42.46,7
RAN202400185,2024-08-25 14:00:00,Hospital,Medium,2,50-350,Weekly,True,64.13,True,False,50,Compromised Credentials,True,40.21,4
RAN202400186,2024-07-08 10:00:00,Clinic,Small,1,350+,Daily,False,72.57,True,False,16,Compromised Credentials,False,34.41,6
RAN202400187,2024-04-26 10:00:00,Insurance,Medium,16,50-350,Monthly,False,66.23,False,True,47,Compromised Credentials,False,22.35,4
RAN202400188,2024-05-16 01:00:00,Clinic,Small,7,1-50,More than once per day,True,39.05,True,True,45,Compromised Credentials,True,53.06,7
RAN202400189,2024-09-12 21:00:00,Clinic,Medium,22,350+,Daily,True,66.73,True,True,30,Phishing Email,True,59.99,7
RAN202400190,2024-08-07 16:00:00,Hospital,Medium,24,1-50,Weekly,True,48.22,True,False,59,Phishing Email,True,45.94,4
RAN202400191,2024-03-24 15:00:00,Hospital,Large,11,1-50,Daily,False,46.14,True,False,25,Exploited Vulnerability,False,35.53,2
RAN202400192,2024-05-15 12:00:00,Insurance,Medium,15,50-350,Weekly,True,53.72,True,False,53,RDP Exploit,False,53.01,1
RAN202400193,2024-05-10 08:00:00,Pharma,Medium,13,50-350,Daily,False,63.67,True,False,36,RDP Exploit,True,62.68,5
RAN202400194,2024-07-08 16:00:00,Clinic,Small,24,350+,More than once per day,True,22.32,True,True,19,Exploited Vulnerability,False,70.22,7
RAN202400195,2024-06-01 00:00:00,Hospital,Medium,2,1-50,More than once per day,True,41.1,True,True,32,RDP Exploit,True,57.52,5
RAN202400196,2024-06-20 06:00:00,Hospital,Medium,14,50-350,Monthly,False,51.91,False,False,32,Compromised Credentials,True,59.36,5
RAN202400197,2024-04-03 00:00:00,Research Lab,Medium,24,50-350,Weekly,True,42.2,True,True,50,Exploited Vulnerability,False,10.17,6
RAN202400198,2024-06-27 10:00:00,Insurance,Large,6,1-50,Weekly,True,50.33,True,False,45,Compromised Credentials,False,48.39,1
RAN202400199,2024-12-17 06:00:00,Insurance,Medium,9,1-50,Daily,True,47.41,True,False,41,Compromised Credentials,True,61.24,6
RAN202400200,2024-04-30 09:00:00,Research Lab,Small,7,1-50,Weekly,True,84.29,True,False,71,Exploited Vulnerability,True,35.9,4
RAN202400201,2024-06-04 03:00:00,Clinic,Small,18,1-50,Daily,True,84.61,True,True,83,Phishing Email,False,41.4,2
